Codice;Codici produttore;Descrizione;Descrizione estesa;Marca;Modello;Anno;Categoria - SC Ricambi
11069;55189996 1928404687;SONDA LAMBDA 2.3 88KW FIAT DUCATO 2007;SONDA LAMBDA SENSORE DI TEMPERETURA GAS DI SCARICO 2.3 88KW 55189996 1928404687;FIAT PROFESSIONAL;DUCATO;2007;Apparecchiature e comandi elettrici
11075;1343785080;RADIATORE CLIMA FIAT DUCATO 2.3 120CV;RADIATORE CONDENSATORE CLIMA CLIMATIZZATORE 2.3 88KW 1343785080 1399111080;FIAT PROFESSIONAL;DUCATO;2007;Radiatori vari e raffreddamento
11076;1358087080;SUPPORTO MOTORE FIAT DUCATO;SUPPORTO MOTORE DESTRO DX 2.3 88KW 1358087080 1363376080 1343241080;FIAT PROFESSIONAL;DUCATO;2007;Motore e supporti vari
11077;1346984080;SUPPORTO MOTORE FIAT DUCATO;SUPPORTO MOTORE SINISTRO SX 2.3 88KW 1346984080 1363378080;FIAT PROFESSIONAL;DUCATO;2007;Motore e supporti vari
11080;1349786080;SEMIASSE DX FIAT DUCATO;SEMIASSE DX 1349786080 SEMIALBERO DI TRASMISSIONE INTERMEDIO DESTRO 2.3 120CV 88KW;FIAT PROFESSIONAL;DUCATO;2007;Cambio e trasmissioni
11081;55208985 55208347;CAVI CAMBIO FIAT DUCATO;CAVI CAMBIO FLESSIBILE INNESTO MARCE (CORDA CAMBIO) 2.3 88KW 55208985 55208347 55208346 55238493 55200140;FIAT PROFESSIONAL;DUCATO;2007;Cambio e trasmissioni
11083;1357425080;POMPA IDROGUIDA FIAT DUCATO;POMPA IDROGUIDA FIAT DUCATO 1357425080 CON TUBO DA VASCHETTA A IDROGUIDA 2.3 88KW ALTRI CODICI 7612955121 1342195080;FIAT PROFESSIONAL;DUCATO;2007;Sterzo
11086;504086751 2994029;TENDICINGHIA FIAT DUCATO 2.3 JTD;TENDICINGHIA SERVIZI 2.3 88KW DIESEL 504086751 2994029;FIAT PROFESSIONAL;DUCATO;2007;Organi meccanici e manutenzione
11089;735421233 735476249;KIT AIRBAG FIAT DUCATO;KIT AIRBAG COMPLETO DI CRUSCOTTO CINTURE AIRBAG PALLONE E PASSEGGERO 2.3 88KW DIESEL 735421233 735476249 735456962 735438251 735447009 735421239 1373899080 735421029;FIAT PROFESSIONAL;DUCATO;2007;Apparecchiature e comandi elettrici
11090;0281003039;CENTRALINA PRERISCALDO CANDELETTE 2.3 88KW DUCATO;CENTRALINA MODULO PRERISCALDO CANDELETTE 2.3 88KW 0281003039;FIAT PROFESSIONAL;DUCATO;2007;Apparecchiature e comandi elettrici
11094;500072908;VENTOLA RADIATORE RANGE ROVER EVOQUE;VENTOLA RADIATORE 500072908 ELETTROVENTOLA ELETTROVENTILATORE;RANGE ROVER;EVOQUE;2018;Radiatori vari e raffreddamento
11110;51796551 51915475;AIRBAG TENDINA LATERALE SX FIAT GRANDE PUNTO 2007;AIRBAG TENDINA LATERALE SINISTRA SX 51796551 51915475 51701712;FIAT;GRANDE PUNTO;2007;Apparecchiature e comandi elettrici
11111;51796550 51915474;AIRBAG TENDINA LATERALE DX FIAT GRANDE PUNTO 2007;AIRBAG TENDINA LATERALE DESTRA DX 51796550 51915474 51701711;FIAT;GRANDE PUNTO;2007;Apparecchiature e comandi elettrici
11121;735514491;ALETTA PARASOLE DESTRA FIAT GRANDE PUNTO;ALETTA PARASOLE DESTRA DX FIAT GRANDE PUNTO 735514491 LATO PASSEGGERO;FIAT;GRANDE PUNTO;2007;Arredamenti interni e sedili
11128;735425828 735420429;SPECCHIO RETROVISORE INTERNO FIAT GRANDE PUNTO;SPECCHIO SPECCHIETTO RETROVISORE INTERNO 735425828 735420429;FIAT;GRANDE PUNTO;2007;Arredamenti interni e sedili
11129;735244963;PLAFONIERA FIAT GRANDE PUNTO;PLAFONIERA LUCE INTERNA ANTERIORE 735244963;FIAT;GRANDE PUNTO;2007;Illuminazione
11133;A2122401818;SUPPORTO CAMBIO AUTOMATICO MERCEDES CLASSE E220;SUPPORTO CAMBIO AUTOMATICO E220 W212 A2122401818;MERCEDES;CLASSE E;2009;Motore e supporti vari
11148;607707100;CINTURA DI SICUREZZA POSTERIORE FIAT GRANDE PUNTO;CINTURA DI SICUREZZA POSTERIORE DESTRA DX 607707100;FIAT;GRANDE PUNTO;2007;Apparecchiature e comandi elettrici
11150;605236500;CINTURA SICUREZZA ANTERIORE DX FIAT GRANDE PUNTO;CINTURA DI SICUREZZA ANTERIORE DESTRA DX 605236500;FIAT;GRANDE PUNTO;2007;Apparecchiature e comandi elettrici
11151;735514454;TUNNEL CENTRALE FIAT GRANDE PUNTO;MOBILETTO TUNNEL PORTAOGGETTI CENTRALE 735514454 735386309 735386321 735394633;FIAT;GRANDE PUNTO;2007;Arredamenti interni e sedili
11156;71773204;CAMBIO FIAT GRANDE PUNTO 1.3 MULTIJET;CAMBIO 5 MARCE 1.3 MULTIJET MJT 55KW 71773204 55201110;FIAT;GRANDE PUNTO;2007;Cambio e trasmissioni
11159;;PORTA ANTERIORE SINISTRA SX FIAT GRANDE PUNTO;PORTA ANTERIORE SINISTRA SX FIAT GRANDE PUNTO PORTIERA SPORTELLO CON VETRO SCENDENTE LATO GUIDA (5 PORTE);FIAT;GRANDE PUNTO;2007;Parti carrozzeria e cristalli
11162;;PORTELLONE FIAT GRANDE PUNTO;PORTELLONE FIAT GRANDE PUNTO COFANO POSTERIORE COMPLETO DI LUNOTTO (PRODOTTO COME IN FOTO VISTO E PIACIUTO);FIAT;GRANDE PUNTO;2007;Parti carrozzeria e cristalli
11165;;SEMIASSE DX FIAT GRANDE PUNTO;SEMIASSE ALBERO DI TRASMISSIONE DESTRO DX 1.3 MULTIJET MJT 55KW/75CV (CROCIERA ROTTA);FIAT;GRANDE PUNTO;2007;Cambio e trasmissioni
11166;55702309;CULLA MOTORE FIAT GRANDE PUNTO 1.3 MULTIJET;CULLA MOTORE ASSALE ANTERIORE 1.3 MULTIJET MJT 55KW/75CV 55702309;FIAT;GRANDE PUNTO;2007;Sospensioni e ruote
11181;735660306;PIANTONE STERZO FIAT NEW PANDA;PIANTONE STERZO FIAT NEW PANDA 735660306 SERVOSTERZO ELETTRICO ALTRI CODICI 735716555 735710558;FIAT;NEW PANDA;2019;Sterzo
11204;735491912 735536757;PULSANTIERA ALZAVETRO ALZACRISTALLO FIAT NEW PANDA;MASCHERINA RIVESTIMENTO CENTRALE PULSANTIERA ALZAVETRO ALZACRISTALLI DX E SX CON PULSANTE ASR CONTROLLO DI TRAZIONE 735491912 735536757 735536760 735536759;FIAT;NEW PANDA;2019;Apparecchiature e comandi elettrici
11208;52060461;COMPRESSORE CLIMA FIAT NEW PANDA BENZINA;COMPRESSORE CLIMA FIAT NEW PANDA 52060461 ORIGINALE CON 3000 KM DI UTILIZZO CLIMATIZZATORE ARIA CONDIZAIONATA PER MOTORI BENZINA/GPL COMPATIBILE CON FIAT 500 E LANCIA Y;FIAT;NEW PANDA;2019;Clima generatore e avviamento
11211;55181620 55197953;PULEGGIA MOTORE FIAT NEW PANDA 1.2 BENZINA;PULEGGIA ALBERO MOTORE ALBERO A GOMITI 1.2 8V 51KW BENZINA/GPL 55181620 55197953 (COME NUOVA);FIAT;NEW PANDA;2019;Organi meccanici e manutenzione
11212;55249876 55246661;SONDA LAMBDA A VALLE 1.2 8V 51KW FIAT NEW PANDA;SONDA LAMBDA SENSORE DI TEMPERATURA GAS DI SCARICO A VALLE INFERIORE CATALIZZATORE 1.2 8V 51KW BENZINA/GPL 55249876 55246661;FIAT;NEW PANDA;2019;Apparecchiature e comandi elettrici
11213;55249875;SONDA LAMBDA A MONTE 1.2 8V 51KW FIAT NEW PANDA;SONDA LAMBDA SENSORE DI TEMPERATURA GAS DI SCARICO A MONTE SUPERIORE CATALIZZATORE 1.2 8V 51KW BENZINA/GPL 55249875;FIAT;NEW PANDA;2019;Apparecchiature e comandi elettrici
11220;52024852 MS159200-9260;TERGICRISTALLO FIAT NEW PANDA;MOTORINO TERGICRISTALLO ANTERIORE 52024852 51843622 MS159200-9260;FIAT;NEW PANDA;2019;Apparecchiature e comandi elettrici
11225;51910242;SUPPORTO MOTORE FIAT NEW PANDA;SUPPORTO MOTORE DESTRO DX LATO DISTRIBUZIONE 1.2 8V 51KW/70CV BENZINA/GPL 51910242;FIAT;NEW PANDA;2019;Motore e supporti vari
11226;51854342;SERVOFRENO FIAT NEW PANDA;SERVOFRENO 51854342 NEW PANDA 1.2 8V 51KW BENZINA/GPL;FIAT;NEW PANDA;2019;Comando freni e frizione
11227;55275272;CAVO CAMBIO FIAT NEW PANDA;CAVO CAMBIO FIAT NEW PANDA 55275272 FLESSIBILE INNESTO MARCE (CORDE CAMBIO);FIAT;NEW PANDA;2019;Cambio e trasmissioni
11228;52061614;TUBO ARIA CONDIZIONATA FIAT NEW PANDA;TUBO A/C CLIMA CLIMATIZZATORE 1.2 BENZINA/GPL 52061614;FIAT;NEW PANDA;2019;Clima generatore e avviamento
11232;52126660;SEMIASSE SX FIAT NEW PANDA;SEMIASSE ALBERO DI TRASMISSIONE SINISTRO SX 1.2 8V 51KW/70CV BENZINA/GPL 52126660 51902278 ORIGINALE CON 4000 KM;FIAT;NEW PANDA;2019;Cambio e trasmissioni
11233;55245750 55185422;TUBO ACQUA RADIATORE 1.2 51KW FIAT NEW PANDA 2019;TUBO ACQUA DA POMPA A RADIATORE 1.2 8V 51KW BENZINA/GPL 55245750 55185422 51885180 51837867;FIAT;NEW PANDA;2019;Vaschette e tubazioni varie
11234;71754720 71771201;VETRO SPECCHIO RETROVISORE DESTRO FIAT NEW PANDA;VETRO SPECCHIO SPECCHIETTO RETROVISORE DESTRO DX 71754720 71771201;FIAT;NEW PANDA;2019;Parti carrozzeria e cristalli
11235;52060643 52076549;ALZAVETRO ANTERIORE DESTRO FIAT NEW PANDA;ALZAVETRO ALZACRISTALLI ELETTRICO ANTERIORE DESTRO DX 52060643 52076549 51983616;FIAT;NEW PANDA;2019;Parti carrozzeria e cristalli
11238;51983619 51843559;ALZAVETRO POSTERIORE SINISTRO FIAT NEW PANDA;ALZAVETRO ALZACRISTALLI MANUALE POSTERIORE SINISTRO SX 51983619 51843559;FIAT;NEW PANDA;2019;Parti carrozzeria e cristalli
11240;52142495 52018464;SERRATURA ANTERIORE DESTRA FIAT NUOVA PANDA;SERRATURA PORTA PORTIERA ANTERIORE DESTRA DX 52142495 52018464;FIAT;NEW PANDA;2019;Parti carrozzeria e cristalli
11251;51880614;RIVESTIMENTO PORTA POSTERIORE SX FIAT NEW PANDA;MODANATURA RIVESTIMENTO FIAT NEW PANDA 51880614 MONTANTE POSTERIORE ESTERNO PORTA POSTERIORE SINISTRA SX;FIAT;NEW PANDA;2019;Accessori esterni carrozzeria
11258;51842459;CABLAGGIO PORTA POSTERIORE SINISTRA FIAT NEW PANDA;CAVO IMPIANTO CABLAGGIO PORTA POSTERIORE SINISTRA SX 51842459;FIAT;NEW PANDA;2019;Parti carrozzeria e cristalli
11263;55269068 46470971;KIT FRIZIONE E VOLANO NEW PANDA;KIT FRIZIONE E VOLANO 1.2 8V 51KW/70CV BENZINA/GPL 55269068 46470971 CON 4000 KM PERCORSI;FIAT;NEW PANDA;2019;Organi meccanici e manutenzione
11266;46800412;SUPPORTO CAMBIO 1.2 70CV FIAT NEW PANDA;SUPPORTO CAMBIO 1.2 8V 51KW/70CV BENZINA/GPL 46800412;FIAT;NEW PANDA;2019;Motore e supporti vari
11267;51930158 51835480;SUPPORTO TIRANTE CAMBIO 1.2 51KW FIAT NEW PANDA;SUPPORTO TIRANTE CAMBIO 1.2 8V 51KW BENZINA/GPL 51930158 51835480;FIAT;NEW PANDA;2019;Motore e supporti vari
11268;51841634;MOLLE A GAS PORTELLONE FIAT NEW PANDA;MOLLE A GAS PORTELLONE FIAT NEW PANDA 51841634 PUNTELLO COFANO POSTERIORE;FIAT;NEW PANDA;2019;Parti carrozzeria e cristalli
11269;55226950;CAVO DISINNESTO FRIZIONE 1.2 51KW FIAT NEW PANDA;CAVO FLESSIBILE DISINNESTO FRIZIONE 1.2 8V 51KW BENZINA/GPL 55226950 ORIGINALE;FIAT;NEW PANDA;2019;Cambio e trasmissioni
11272;52121794 51965405;PASSARUOTA POSTERIORE SINISTRO SX NEW PANDA;PASSARUOTA RIPARO VANO RUOTA PARASASSI POSTERIORE SINISTRO SX 52121794 51965405;FIAT;NEW PANDA;2019;Traino e ripari
11277;735633209 735543315;PULSANTIERA COMANDO CLIMA DX FIAT NEW PANDA 2019;PULSANTIERA COMANDO A/C CLIMA DESTRA DX ARIA CONDIZIONATA 735633209 735543315;FIAT;NEW PANDA;2019;Apparecchiature e comandi elettrici
11281;51926352;PEDALIERA FIAT NEW PANDA;PEDALIERA FIAT NEW PANDA COMANDO A PEDALE FRENO E FRIZIONE 1.2 8V 51KW BENZINA/GPL 51926352 51839642;FIAT;NEW PANDA;2019;Comando freni e frizione
11285;735651943;MODANATURA ABBELLIMENTO PORTELLONE FIAT NEW PANDA;MODANATURA RIVESTIMENTO ABBELLIMENTO SUPERIORE PORTELLONE COFANO POST 735651943 735554748 51908529;FIAT;NEW PANDA;2019;Accessori esterni carrozzeria
11287;51846451;BRACCIO TERGILUNOTTO FIAT NEW PANDA;BRACCIO TERGILUNOTTO TERGICRISTALLO POSTERIORE 51846451;FIAT;NEW PANDA;2019;Apparecchiature e comandi elettrici
11289;47060160 51925927;SUPPORTO FARO PROIETTORE ANT DX FIAT NEW PANDA;KIT RIPARAZIONE SUPPORTO FARO PROIETTORE ANT DX (NUOVO) 47060160 51925927;FIAT;NEW PANDA;2019;Illuminazione
11291;52062539 6000626422;STUFA FIAT NEW PANDA;STUFA FIAT NEW PANDA 52062539 6000626422 SCATOLA RISCALDAMENTO ARIA CONDIZIONATA CLIMATIZZATORE MANUALE;FIAT;NEW PANDA;2019;Clima generatore e avviamento
11301;735490710 735490416;RIVESTIMENTO MONTANTI INTERNI FIAT NEW PANDA;KIT MODANATURA RIVESTIMENTO INTERNO ANTERIORE E CENTRALI 735490710 735490416;FIAT;NEW PANDA;2019;Arredamenti interni e sedili
11304;735491901;MODANATURA RIVESTIMENTO LEVA CAMBIO FIAT NEW PANDA;MODANATURA RIVESTIMENTO LEVA CAMBIO FIAT NEW PANDA 735491901;FIAT;NEW PANDA;2019;Arredamenti interni e sedili
11307;51926522 51846421;AMMORTIZZATORE ANTERIORE DESTRO FIAT NEW PANDA;AMMORTIZZATORE ANTERIORE DESTRO DX FIAT NEW PANDA 51926522 51846421 PARI AL NUOVO CON 3.000 KM PERCORSI PER MOTORI 1.2 0.9 BENZINA;FIAT;NEW PANDA;2019;Sospensioni e ruote
11316;735367268;PULSANTIERA REGOLAZIONE FARI FIAT GRANDE PUNTO;PULSANTIERA COMANDO REGOLAZIONE FARI 735367268 735367269 61045900 61046000;FIAT;GRANDE PUNTO;2007;Apparecchiature e comandi elettrici
11317;55702020 52097727 50508664;PEDALE ACCELERATORE FIAT GRANDE PUNTO;PEDALE COMANDO ACCELERATORE FIAT GRANDE PUNTO 1.3 MULTIJET MJT 55KW 55702020 52097727 50508664;FIAT;GRANDE PUNTO;2007;Comando freni e frizione
11321;55702237;INTERCOOLER FIAT GRANDE PUNTO 1.3 MULTIJET 75CV;RADIATORE INTERCOOLER 55702237 SCAMBIATORE DI CALORE PER MOTORI 1.3 MULTIJET MJT 55KW/75CV;FIAT;GRANDE PUNTO;2007;Aspirazione, iniezione e scarico
11324;51798104;CENTRALINA ABS FIAT GRANDE PUNTO;CENTRALINA POMPA ABS GRANDE PUNTO 1.3 MULTIJET MJT 51798104 71748625 0265232053;FIAT;GRANDE PUNTO;2007;Apparecchiature e comandi elettrici
11325;55201144 55197846;GRUPPO EGR 1.3 MULTIJET 75CV FIAT GRANDE PUNTO;SCAMBIATORE DI CALORE E VALVOLA EGR 1.3 MULTIJET MJT 55KW/75CV 55201144 55197846 71793407 55184651 71723449 55184659;FIAT;GRANDE PUNTO;2007;Aspirazione, iniezione e scarico
11326;55207034;COLLETTORE ASPIRAZIONE GRANDE PUNTO 1.3 MULTIJET;COLLETTORE DI ASPIRAZIONE CON SENSORE DI PRESSIONE 1.3 MULTIJET MJT 55KW/75CV 55207034 55206796 55231291 73501353 0281002844 55219294 46811235;FIAT;GRANDE PUNTO;2007;Aspirazione, iniezione e scarico
11328;51806498 51798616;KIT ACCENSIONE FIAT GRANDE PUNTO 1.3 MULTIJET;KIT ACCENSIONE 1.3 MULTIJET MJT 55KW CON CENTRALINA INIEZIONE MOTORE ECU, CENTRALINA BODY COMPUTER, BLOCCHETTO COMMUTATORE ACCENSIONE E CHIAVE 51806498 51798616 51813197 55703083 51825024 51796241 52182633 51793074 51798615;FIAT;GRANDE PUNTO;2007;Apparecchiature e comandi elettrici
11330;55193743;SUPPORTO FILTRO OLIO FIAT GRANDE PUNTO 1.3 MJT;SUPPORTO FILTRO OLIO CON RADIATORE SCAMBIATORE DI CALORE 1.3 MULTIJET MJT 55KW 55193743 55197216 55238294 73500434;FIAT;GRANDE PUNTO;2007;Lubrificazione
11331;55702892 430036418;VASCHETTA SERBATOIO TERGICRISTALLO GRANDE PUNTO;VASCHETTA (SERBATOIO DI ESPANSIONE) TERGICRISTALLO 55702892 430036418 52095655 51768011;FIAT;GRANDE PUNTO;2007;Vaschette e tubazioni varie
11350;55200498 46819147;PULEGGIA MOTORE FIAT GRANDE PUNTO 1.3 MULTIJET;PULEGGIA ALBERO MOTORE ALBERO A GOMITI 1.3 MULTIJET 55KW/75CV 55200498 46819147;FIAT;GRANDE PUNTO;2007;Organi meccanici e manutenzione
11351;55702833 52085828;SUPPORTO MOTORE FIAT GRANDE PUNTO;SUPPORTO MOTORE SINISTRO SX LATO CAMBIO 1.3 MULTIJET MJT 55KW/75CV 55702833 52085828;FIAT;GRANDE PUNTO;2007;Motore e supporti vari
11357;735386353;MODANATURA RIPARO SOTTO PIANTONE FIAT GRANDE PUNTO;RIVESTIMENTO PLANCIA CRUSCOTTO RIPARO SOTTO PIANTONE STERZO 735386353;FIAT;GRANDE PUNTO;2009;Arredamenti interni e sedili
11360;51782903 51775643;CAVO BATTERIA 1.3 MULTIJET 55KW FIAT GRANDE PUNTO;CAVO BATTERIA 1.3 MULTIJET MJT 55KW CAMBIO 5 MARCE 51782903 51775643;FIAT;GRANDE PUNTO;2007;Apparecchiature e comandi elettrici
11364;2S61-A17K441-AB;TERGILUNOTTO FORD FIESTA;MOTORINO TERGICRISTALLO POSTERIORE 404736B 2S61-A17K441-AB;FORD;FIESTA;2004;Apparecchiature e comandi elettrici
11365;51780520 51913761;SERRATURA COFANO ANTERIORE FIAT GRANDE PUNTO;SERRATURA COFANO MOTORE ANTERIORE 51780520 51913761 51759032;FIAT;GRANDE PUNTO;2007;Parti carrozzeria e cristalli
11367;735447949;CENTRALINA GRUPPO COMANDI CLIMA FIAT GRANDE PUNTO;CENTRALINA GRUPPO COMANDI ARIA CONDIZIONATA CLIMA AUTOMATICO CLIMATRONIC 735447949;FIAT;GRANDE PUNTO;2007;Apparecchiature e comandi elettrici
11370;3M51R24994GM;ALZAVETRO POSTERIORE DESTRO FORD C MAX;PANNELLO ALZAVETRO ELETTRICO POSTERIORE DESTRO DX 3M51R24994GM;FORD;C MAX;2005;Parti carrozzeria e cristalli
11371;3M51R24995GM;ALZAVETRO POSTERIORE SINISTRO FORD C MAX;PANNELLO ALZAVETRO ALZACRISTALLI ELETTRICO POSTERIORE SINISTRO SX 3M51R24995GM;FORD;C MAX;2005;Parti carrozzeria e cristalli
11372;3M51R203A29MS;ALZAVETRO ANTERIORE SINISTRO FORD C MAX;PANNELLO ALZAVETRO ALZACRISTALLI ANTERIORE SINISTRO SX 3M51R203A29MS;FORD;C MAX;2005;Parti carrozzeria e cristalli
11374;65992090 981406102;ALZAVETRO ANTERIORE DESTRO FORD C MAX;MOTORINO ALZAVETRO ELETTRICO ANTERIORE DESTRO DX 65992090 981406102;FORD;C MAX;2005;Parti carrozzeria e cristalli
11375;3M51R203A28MS;ALZAVETRO ANTERIORE DESTRO FORD C MAX;PANNELLO ALZAVETRO ALZACRISTALLI ANTERIORE DESTRO DX 3M51R203A28MS;FORD;C MAX;2005;Parti carrozzeria e cristalli
11378;3M5AR21813EP;SERRATURA ANTERIORE SINISTRA FORD C MAX;SERRATURA PORTA PORTIERA ANTERIORE SINISTRA SX 3M5AR21813EP;FORD;C MAX;2005;Parti carrozzeria e cristalli
11381;3M5T18C612AL;CENTRALINA COMANDI CLIMA FORD C MAX 2005;CENTRALINA GRUPPO COMANDI A/C ARIACONDIZIONATA CLIMA BI-ZONA 3M5T18C612AL;FORD;C MAX;2005;Apparecchiature e comandi elettrici
11382;;PORTA PORTIERA ANTERIORE DESTRA DX FORD C MAX 2005;PORTA PORTIERA ANTERIORE DESTRA DX CON VETRO SCENDENTE E MANIGLIA;FORD;C MAX;2005;Parti carrozzeria e cristalli
11383;;PONTE POSTERIORE FORD C MAX;PONTE ASSALE POSTERIORE FORD C-MAX 1.6 TDCI 110CV;FORD;C MAX;2005;Sospensioni e ruote
11388;;PORTA POSTERIORE DESTRA DX FORD C MAX 2005;PORTA PORTIERA POSTERIORE DESTRA DX CON VETRO SCENDENTE E MANIGLIA;FORD;C MAX;2005;Parti carrozzeria e cristalli
11389;;PORTA POSTERIORE SINISTRA SX FORD C MAX 2005;PORTA PORTIERA POSTERIORE SINISTRA SX CON VETRO SCENDENTE E MANIGLIA;FORD;C MAX;2005;Parti carrozzeria e cristalli
11390;;PORTA PORTIERA ANTERIORE SINISTRA FORD C MAX 2005;PORTA PORTIERA ANTERIORE SINISTRA SX CON VETRO SCENDENTE E MANIGLIA;FORD;C MAX;2005;Parti carrozzeria e cristalli
11394;;VETRO ANTERIORE SINISTRO FIAT NEW PANDA;VETRO SCENDENTE PORTA ANTERIORE SINISTRA SX;FIAT;NEW PANDA;2019;Parti carrozzeria e cristalli
11395;;VETRO ANTERIORE DESTRO FIAT NEW PANDA;VETRO SCENDENTE PORTA ANTERIORE DESTRA DX;FIAT;NEW PANDA;2019;Parti carrozzeria e cristalli
11404;3M513A500AS 1698389;SCATOLA STERZO FORD C MAX;SCATOLA STERZO 3M513A500AS 1698389;FORD;C MAX;2005;Sterzo
11406;;SEMIASSE SINISTRO FORD C MAX;SEMIASSE ALBERO TRASMISSIONE SINISTRO SX 1.6 TDCI 110CV;FORD;C MAX;2005;Cambio e trasmissioni
11407;;CULLA MOTORE FORD C MAX 1.6 TDCI;CULLA MOTORE ASSALE ANTERIORE 1.6 TDCI 110CV;FORD;C MAX;2005;Sospensioni e ruote
11409;51928344 51903479;CULLA MOTORE FIAT NEW PANDA;CULLA MOTORE 51928344 51903479 ASSALE ANTERIORE;FIAT;NEW PANDA;2019;Sospensioni e ruote
11412;;PONTE ASSALE POSTERIORE FIAT NEW PANDA 4X4;PONTE ASSALE POSTERIORE FIAT NEW PANDA 4X4;FIAT;NEW PANDA;2019;Sospensioni e ruote
11413;;SOSPENSIONE ANTERIORE SINISTRA FORD C MAX 1.6 TDCI;SOSPENSIONE ANTERIORE SINISTRA FORD C MAX 1.6 TDCI COMPLETA DI MOZZO MONTANTE FUSELLO, DISCO E PINZA FRENO, AMMORTIZZATORE E BRACCIO 1.6 TDCI;FORD;C MAX;2005;Sospensioni e ruote
11414;;SOSPENSIONE ANTERIORE DESTRA FORD C MAX 1.6 TDCI;SOSPENSIONE ANTERIORE DESTRA FORD C MAX 1.6 TDCI COMPLETA DI MOZZO MONTANTE FUSELLO, DISCO E PINZA FRENO, AMMORTIZZATORE E BRACCIO;FORD;C MAX;2005;Sospensioni e ruote
11418;;FIANCO FIANCATA DESTRA DX FIAT NEW PANDA;FIANCO FIANCATA PARAFANGO DESTRO DX NEW PANDA PER LE MISURE DEL TAGLIO CONTATTATECI (RIMANE SOLO IL SOTTO PORTA CON IL MONTANTE CENTRALE);FIAT;NEW PANDA;2019;Scocca e  lamierati
11419;3M5T13A50AB;PULSANTE INTERRUTTORE 4 FRECCE FORD C MAX 2005;PULSANTE INTERRUTTORE 4 FRECCE 3M5T13A50AB;FORD;C MAX;2005;Apparecchiature e comandi elettrici
11424;;ALETTA PARASOLE DX E SX FORD C MAX 2005;KIT ALETTA PARASOLE DESTRA DX E SINISTRA SX;FORD;C MAX;2005;Arredamenti interni e sedili
11426;3M5117504AG 3M5117508AA;TERGICRISTALLO FORD C MAX;MOTORINO TERGICRISTALLO ANTERIORE 3M5117504AG 3M5117508AA;FORD;C MAX;2004;Apparecchiature e comandi elettrici
11429;3M51R22601BB;MANIGLIA POSTERIORE SINISTRA FORD C MAX;MANIGLIA INTERNA POSTERIORE SINISTRA SX 3M51R22601BB;FORD;C MAX;2005;Parti carrozzeria e cristalli
11432;3M5110723BR;SUPPORTO BATTERIA FORD C MAX;SUPPORTO PORTA BATTERIA 3M5110723BR;FORD;C MAX;2005;Clima generatore e avviamento
11435;4M5T14B056AB;CENTRALINA AIRBAG FORD C MAX;CENTRALINA AIRBAG 4M5T14B056AB;FORD;C MAX;2005;Apparecchiature e comandi elettrici
11437;3M51-R06044;CASSETTO VANO PORTAOGGETTI DX CRUSCOTTO FORD C MAX;CASSETTO VANO PORTAOGGETTI DX PLANCIA CRUSCOTTO LATO PASSEGGERO 3M51-R06044;FORD;C MAX;2005;Arredamenti interni e sedili
11438;3M51226A36ADW;PULSANTE ALZAVETRO ANTERIORE DESTRO FORD C MAX;PULSANTIERA PULSANTE ALZAVETRO ALZACRISTALLI ANTERIORE DESTRO DX 3M51226A36ADW;FORD;C MAX;2005;Apparecchiature e comandi elettrici
11440;3M51226A36ADW;PULSANTE ALZAVETRO POSTERIORE DESTRO DX FORD C MAX;PULSANTIERA ALZAVETRO ALZACRISTALLI POSTERIORE DESTRO DX 3M51226A36ADW;FORD;C MAX;2005;Apparecchiature e comandi elettrici
11441;3M51226A37ADW;PULSANTE ALZAVETRO POSTERIORE SINISTRO FORD C MAX;PULSANTIERA PULSANTE ALZAVETRO ALZACRISTALLI POSTERIORE SINISTRO SX 3M51226A37ADW;FORD;C MAX;2005;Apparecchiature e comandi elettrici
11442;3M5R7K387HD;LEVA CAMBIO FORD C MAX;LEVA CAMBIO 3M5R7K387HD;FORD;C MAX;2005;Cambio e trasmissioni
11443;3M51R22600BB;MANIGLIA POSTERIORE DESTRA FORD C MAX;MANIGLIA INTERNA POSTERIORE DESTRA DX 3M51R22600BB;FORD;C MAX;2005;Parti carrozzeria e cristalli
11444;3M51R22600BB;MANIGLIA ANTERIORE DESTRA FORD C MAX;MANIGLIA INTERNA ANTERIORE DESTRA DX 3M51R22600BB;FORD;C MAX;2005;Parti carrozzeria e cristalli
11446;3M51R22601BB;MANIGLIA ANTERIORE SINISTRA FORD C MAX;MANIGLIA INTERNA PORTA ANTERIORE SINISTRA SX 3M51R22601BB;FORD;C MAX;2005;Parti carrozzeria e cristalli
11448;3S7A13K767AA;PLAFONIERA POSTERIORE FORD C MAX;PLAFONIERA LUCE INTERNA POSTERIORE 3S7A13K767AA;FORD;C MAX;2005;Illuminazione
11452;3M5H8K218;VASCHETTA SERBATOIO RADIATORE 1.6 TDCI FORD C MAX;VASCHETTA SERBATOIO LIQUIDO RADIATORE 1.6 TDCI 3M5H8K218;FORD;C MAX;2005;Vaschette e tubazioni varie
11456;51953757;MOLLE A GAS PORTELLONE FIAT 500L;MOLLE A GAS PORTELLONE FIAT 500L 51953757 51883050 PUNTELLO COFANO POSTERIORE;FIAT;500L;2017;Parti carrozzeria e cristalli
11457;3M51R14K158AG;AIRBAG TENDINA SINISTRA FORD C MAX;AIRBAG SINISTRO TENDINA LATERALE SX LATO GUIDATORE 3M51R14K158AG;FORD;C MAX;2005;Apparecchiature e comandi elettrici
